2.8614	0.4187
2.8714	0.4183
2.8814	0.4179
2.8914	0.4175
2.9015	0.4171
2.9115	0.4167
2.9215	0.4162
2.9315	0.4158
2.9415	0.4154
2.9515	0.415
2.9615	0.4147
2.9715	0.4144
2.9815	0.414
2.9915	0.4137
3.0015	0.4134
3.0115	0.4131
3.0215	0.4128
3.0315	0.4125
3.0415	0.4122
3.0515	0.4119
3.0615	0.4116
3.0715	0.4113
3.0815	0.4109
3.0915	0.4105
3.1016	0.41
3.1116	0.4094
3.1216	0.4088
3.1316	0.4082
3.1416	0.4075
3.1516	0.4069
3.1616	0.4062
3.1716	0.4056
3.1816	0.4049
3.1916	0.4042
3.2016	0.4036
3.2116	0.4029
3.2216	0.4023
3.2316	0.4016
3.2416	0.4011
3.2516	0.4006
3.2616	0.4001
3.2716	0.3997
3.2816	0.3993
3.2916	0.3988
3.3017	0.3984
3.3117	0.398
3.3217	0.3976
3.3317	0.3971
3.3417	0.3967
3.3517	0.3963
3.3617	0.3959
3.3717	0.3954
3.3817	0.395
3.3917	0.3946
3.4017	0.3942
3.4117	0.3938
3.4217	0.3933
3.4317	0.3929
3.4417	0.3925
3.4517	0.3921
3.4617	0.3917
3.4717	0.3913
3.4817	0.3909
3.4917	0.3905
3.5018	0.3902
3.5118	0.3898
3.5218	0.3895
3.5318	0.3891
3.5418	0.3888
3.5518	0.3884
3.5618	0.3881
3.5718	0.3877
3.5818	0.3874
3.5918	0.387
3.6018	0.3866
3.6118	0.3861
3.6218	0.3857
3.6318	0.3852
3.6418	0.3846
3.6518	0.3841
3.6618	0.3836
3.6718	0.3831
3.6818	0.3826
3.6918	0.3821
3.7019	0.3816
3.7119	0.3811
3.7219	0.3806
3.7319	0.3801
3.7419	0.3796
3.7519	0.3792
3.7619	0.3787
3.7719	0.3783
3.7819	0.378
3.7919	0.3776
3.8019	0.3772
3.8119	0.3768
3.8219	0.3764
3.8319	0.3761
3.8419	0.3758
3.8519	0.3754
3.8619	0.3751
3.8719	0.3748
3.8819	0.3745
3.8919	0.3742
3.902	0.3739
3.912	0.3735
3.922	0.3732
3.932	0.3728
3.942	0.3724
3.952	0.372
